RTRe,1004,Testing,Registration,Pep,2315437,asdgadh,test@pep.com,asdQWE123,nil,1234 3652 2435 4732,,,,
RCDi,1001,Chris,Died,WhyFail,1235537,agsjh,chris@fail.com,asdQWE123,nil,nil,,,,
RFHu,1002,Fake,Human,IsBreakingIn,234683,adsgadh,fake@fake.com,asdQWE123,nil,nil,,,,
RTRe,1004,Testing,Registration,Pep,2315437,asdgadh,test@pep.com,asdQWE123,nil,nil,,,,
RATe,1005,Another,Test,Late,231637,adsgsfdh,test@test.com,asdQWE123,nil,nil,,,,
RNWi,1006,Now,With,Dashes,23457,asdgsj,dash@work.com,asdQWE123,nil,nil,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
r_uidalpha,r_uidnum,r_fname,r_lname,r_pname,r_phone,r_address,r_emailusrname,r_pswd,r_defaultloc,r_card_type,r_cardholdername,r_card_num,r_expiry,r_cvv
RCTe,1001,Chris,Test,Bob,2142546,adgsh,chris@test.com,asdQWE123,HAITAITAI,0,,0,0,0
RFHu,1002,Fake,Human,Fakie,1542567,adsgfh,fake@life.com,asdQWE123,nil,0,,0,0,0
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,** currently broken at selecting express booking,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,pay_details(temp_nopid),,,,,,,,,
